instance,n,m,exact_status,exact_time,exact_branch_vertices,heuristic_time,heuristic_branch_vertices
Spd_RF2_300_326_4227.txt,300,326,Optimal,1.2061526775360107,81,6.769011497497559,97
Spd_RF2_300_326_4235.txt,300,326,Optimal,1.5133516788482666,81,7.959151268005371,98
Spd_RF2_300_326_4243.txt,300,326,Optimal,1.7335259914398193,82,5.573054552078247,96
Spd_RF2_350_378_4411.txt,350,378,Optimal,1.7178795337677002,,7.235239505767822,114
Spd_RF2_350_378_4419.txt,350,378,Optimal,1.0239965915679932,93,5.303719997406006,116
Spd_RF2_350_378_4427.txt,350,378,Optimal,1.3343172073364258,96,7.718405723571777,113
Spd_RF2_350_378_4435.txt,350,378,Optimal,0.679192304611206,94,6.449702739715576,115
Spd_RF2_350_378_4443.txt,350,378,Optimal,0.6875331401824951,94,6.977192163467407,119
Spd_RF2_400_429_4611.txt,400,429,Optimal,0.6711215972900391,112,54.46217656135559,133
Spd_RF2_400_429_4619.txt,400,429,Optimal,2.9137625694274902,112,8.250469446182251,129
Spd_RF2_400_429_4627.txt,400,429,Optimal,0.9040906429290771,112,8.340039730072021,129
Spd_RF2_400_429_4635.txt,400,429,Optimal,1.055924892425537,110,6.013445615768433,131
Spd_RF2_400_429_4643.txt,400,429,Optimal,0.8429081439971924,113,9.58411169052124,131
Spd_RF2_450_482_4811.txt,450,482,Optimal,2.0751631259918213,125,7.0119524002075195,149
Spd_RF2_450_482_4819.txt,450,482,Optimal,1.1592183113098145,126,8.743138790130615,148
Spd_RF2_450_482_4827.txt,450,482,Optimal,1.5516328811645508,,8.25056791305542,148
Spd_RF2_450_482_4835.txt,450,482,Optimal,1.5765845775604248,126,7.905160665512085,149
Spd_RF2_450_482_4843.txt,450,482,Optimal,0.473285436630249,126,8.811001777648926,148
Spd_RF2_500_534_5011.txt,500,534,Optimal,1.4976696968078613,141,15.83644413948059,165
Spd_RF2_500_534_5019.txt,500,534,Optimal,2.4124765396118164,,16.546451807022095,165
Spd_RF2_500_534_5027.txt,500,534,Optimal,0.6895427703857422,141,11.69545292854309,163
Spd_RF2_500_534_5035.txt,500,534,Optimal,1.802968978881836,145,13.297770023345947,165
Spd_RF2_500_534_5043.txt,500,534,Optimal,1.7255263328552246,140,13.774465560913086,167
